Master Category,Date,Description,Amount
Credit Card/Loan Payments,10/19/2012,Card Payments (Non-Wf)-Citi Cards,120.00
Credit Card/Loan Payments,10/19/2012,Education-Acs Education Services,210.31
Food/Drink,10/20/2012,Patxis Pizza San Francisco Ca ,33.53
Food/Drink,10/20/2012,Zazie San Francisco Ca ,54.51
Food/Drink,10/22/2012,Cafe Venue San Francisco Ca ,10.52
Food/Drink,10/22/2012,The Little Chihuah San Francisco Ca ,25.94
Cash/ATM,10/22/2012,ATM Withdrawal - San Francisco Divisad San Francisco Ca,40.00
Shopping,10/22/2012,Macys Web Pymt Online Pmt 121019 101991 400885395281376 1460358360 101991 0,120.00
Credit Card/Loan Payments,10/22/2012,Wf Loan/Line Auto Pay 121019 626228690710001 Lawrence Travis Shaw990662 626228690710001 1,324.87
Food/Drink,10/23/2012,Starbucks Corp0000 San Francisco Ca ,4.90
Food/Drink,10/23/2012,Ayola (Kearny) San Francisco Ca ,9.77
Insurance/Financial,10/23/2012,Other Insurance/Financial-State Farm Insurance Companies,52.00
Cash/ATM,10/23/2012,ATM Withdrawal - 1 Montgomery St San Francisco Ca,60.00
Food/Drink,10/24/2012,Newasia Asian Cuis San Francisco Ca ,7.96
Groceries,10/24/2012,Safeway Store San Franciscoca,28.37
Cash/ATM,10/24/2012,ATM Withdrawal - 1 Montgomery St San Francisco Ca,40.00
Food/Drink,10/26/2012,Indian Oven San Francisco Ca ,38.64
Insurance/Financial,10/26/2012,State Farm Insuran 800-956-6310 Il ,603.00
Food/Drink,10/27/2012,Round Table Pizza San Francisco Ca ,50.72
Shopping,10/29/2012,Bay Front Mark3128 Oakland Ca ,4.68
Food/Drink,10/29/2012,Jimmy Johns - 1489 San Francisco Ca ,7.50
Auto/Transportation,10/29/2012,Bart Clipper Mo San Franciscoca,20.00
Cash/ATM,10/29/2012,ATM Withdrawal - San Francisco Divisad San Francisco Ca,40.00
Credit Card/Loan Payments,10/30/2012,"Acs Express Pay Echeck Pay 121029 A102995851 Lawrence, Travis R 4952501112 A102995851 0R91003856982269",210.31
Bills/Utilities,10/31/2012,Gas/Electric-Pacific Gas & Electric (Pg&E),35.15
Insurance/Financial,10/31/2012,Other Insurance/Financial-State Farm Insurance Companies,47.85
Travel,11/1/2012,Oakland Airport-Ai Oakland Ca ,3.00
Travel,11/1/2012,11/01 Oakland Airport-Ai Oakland Ca,3.00
Entertainment,11/1/2012,Paradies Bur Burbank Ca ,7.62
Food/Drink,11/1/2012,Burbank Airport Fo Burbank Ca ,9.76
Cash/ATM,11/1/2012,ATM Withdrawal - 1 Airport Drive Oakland Ca,40.00
Groceries,11/2/2012,11/02 Falletti Foods San Francisco Ca,8.18
Groceries,11/2/2012,Falletti Foods San Francisco Ca,8.18
Food/Drink,11/2/2012,The Little Chihuah San Francisco Ca,19.43
Groceries,11/2/2012,Safeway Store San Franciscoca,51.89
Mortgage / Rent,11/2/2012,Mortgage Payments-Jackson Square West Hoa,325.22
Bills/Utilities,11/3/2012,Phone/Internet-At&T Mobility,90.76
Groceries,11/5/2012,Superette Marke San Franciscoca,14.09
Personal Care,11/5/2012,11/05 Shine Hair Styles San Francisco Ca,21.00
Shopping,11/5/2012,Best Buy 187 San Franciscica,58.32
Shopping,11/5/2012,Best Buy 187 San Franciscica,58.32
Cash/ATM,11/5/2012,ATM Withdrawal - San Francisco Divisad San Francisco Ca,60.00
Food/Drink,11/6/2012,Ayola (Kearny) San Francisco Ca,8.30
Groceries,11/6/2012,Falletti Foods San Franciscoca,23.20
Groceries,11/6/2012,Falletti Foods San Franciscoca,23.20
Food/Drink,11/7/2012,Lee'S Kitchen San Francisco Ca,6.78
Cash/ATM,11/7/2012,ATM Withdrawal - 1 Montgomery St San Francisco Ca,40.00
Bills/Utilities,11/7/2012,Recur Debit Crd Pmt11/07 Msft *Xbox Live 800-386-5550 Wa,59.99
Mortgage / Rent,11/7/2012,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),"$2,536.93"
Credit Card/Loan Payments,11/7/2012,Card Payments (Non-Wf)-Capital One Credit Card,"$2,576.80"
Food/Drink,11/8/2012,Jimmy Johns - 1489 San Francisco Ca,6.00
Food/Drink,11/8/2012,The Little Chihuah San Francisco Ca,17.91
Bills/Utilities,11/8/2012,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,69.71
Shopping,11/9/2012,Pgo*Bistro Bush 855-467-2461 Ca,10.11
Groceries,11/9/2012,Superette Market San Francisco Ca,20.70
Food/Drink,11/9/2012,The Citrus Club San Francisco Ca,26.96
Food/Drink,11/10/2012,Pasta Moto San0000 San Francisco Ca,12.42
Entertainment,11/10/2012,Century Theatres 4 San Francisco Ca,12.87
Entertainment,11/10/2012,Century Theatres 4 San Francisco Ca,20.75
Groceries,11/11/2012,Falletti Foods San Francisco Ca,4.31
Auto/Transportation,11/12/2012,Paybyphone-Sanfran 866-490-7275 Ks,1.45
Food/Drink,11/12/2012,Escape From New Yo 415-4210700 Ca,8.67
Food/Drink,11/13/2012,In-N-Out Burger 00 Ontario Ca,7.21
Entertainment,11/13/2012,Edwards Ontario Pa Ontario Ca,18.00
Groceries,11/13/2012,Safeway Store San Franciscoca,84.94
Food/Drink,11/14/2012,Starbucks Temp3128 Oakland Ca,4.65
Business/Office,11/14/2012,Recur Debit Crd Pmt11/14 Paypal *2Checkoutc 877-294-0273 Oh,11.00
Food/Drink,11/15/2012,Jimmy Johns - 1489 San Francisco Ca,6.00
Auto/Transportation,11/15/2012,Bart Clipper Co Oakland Ca,20.00
Auto/Transportation,11/15/2012,Shell Service S San Franciscoca,45.50
Food/Drink,11/16/2012,Chipotle 0839 San Francisco Ca,8.57
Cash/ATM,11/16/2012,ATM Withdrawal - 1 Montgomery St San Francisco Ca,60.00
Credit Card/Loan Payments,11/17/2012,Card Payments (Non-Wf)-Capital One Credit Card,300.00
Credit Card/Loan Payments,11/17/2012,Card Payments (Non-Wf)-Citi Cards,400.00
Shopping,11/18/2012,Apl*Apple Itunes S 866-712-7753 Ca,19.99
Groceries,11/19/2012,Falletti Foods San Franciscoca,49.81
Cash/ATM,11/19/2012,ATM Withdrawal - 1001 Page Michael'S San Franciscoca,61.95
Groceries,11/19/2012,Falletti Foods San Franciscoca,66.14
Credit Card/Loan Payments,11/19/2012,"Acs Express Pay Echeck Pay 121116 A102995851 Lawrence, Travis R 4952501112 A102995851 0R91003953207688",210.31
Cash/ATM,11/20/2012,ATM Withdrawal - San Francisco Divisad San Francisco Ca,40.00
Shopping,11/20/2012,Macys Web Pymt Online Pmt 121117 111858 400912219330236 1460358360 111858 0R91004153711497,120.00
Auto/Transportation,11/23/2012,7-Eleven San Luis Obisca,3.38
Insurance/Financial,11/23/2012,Other Insurance/Financial-State Farm Insurance Companies,29.00
Credit Card/Loan Payments,11/23/2012,Wf Loan/Line Auto Pay 121121 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O91003657654075,324.87
Shopping,11/24/2012,Apl*Apple Itunes S 866-712-7753 Ca,10.98
Auto/Transportation,11/24/2012,Shell Oil 57441083 Atascadero Ca,46.67
Food/Drink,11/25/2012,Taco Bell 24283 San Luis Obis Ca,16.85
Food/Drink,11/25/2012,Frog & Peach Pub San Luis Obis Ca,37.50
Food/Drink,11/25/2012,Black Sheep Bar & San Luis Obis Ca,44.58
Auto/Transportation,11/26/2012,Paybyphone-Sanfran 866-490-7275 Ks,1.82
Food/Drink,11/26/2012,The Little Chihuah San Francisco Ca,19.43
Food/Drink,11/27/2012,Chipotle 1857 San Francisco Ca,8.57
Food/Drink,11/27/2012,Sutter Pub San Francisco Ca,21.49
Groceries,11/27/2012,Safeway Store 1507 San Franciscoca,27.96
Auto/Transportation,11/27/2012,Car Service Oakland Ca,40.55
Food/Drink,11/28/2012,Escape From New Yo 415-4210700 Ca,8.13
Auto/Transportation,11/28/2012,Recur Debit Crd Pmt11/28 Fastrak Csc 877-2298655 Ca,30.00
Groceries,11/28/2012,Safeway Store 0995 San Franciscoca,35.41
Food/Drink,11/29/2012,Starbucks Corp0000 San Francisco Ca,1.95
Food/Drink,11/29/2012,El Faro San Francisco Ca,8.08
Food/Drink,11/30/2012,Jimmy Johns - 1489 San Francisco Ca,7.00
Food/Drink,11/30/2012,Greenburgers San Francisco Ca,12.97
Bills/Utilities,11/30/2012,Gas/Electric-Pacific Gas & Electric (Pg&E),34.24
Insurance/Financial,11/30/2012,Other Insurance/Financial-State Farm Insurance Companies,47.85
Cash/ATM,11/30/2012,ATM Withdrawal - 1 Montgomery St San Francisco Ca,60.00
Food/Drink,12/1/2012,Alembic San Francisco Ca,26.00
Bills/Utilities,12/1/2012,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,70.00
Food/Drink,12/2/2012,Escape Frm New Yrk San Francisco Ca,3.85
Food/Drink,12/2/2012,Murio`S Bar San Francisco Ca,10.00
Food/Drink,12/2/2012,Murio`S Bar San Francisco Ca,13.00
Groceries,12/3/2012,Superette Marke 901 Ha San Franciscoca,5.95
Food/Drink,12/3/2012,Lee'S Kitchen San Francisco Ca,9.22
Insurance/Financial,12/3/2012,Paypal Inst Xfer 121202 4Jt226H6Nbzp2 Travis Lawrence Paypalsi66 4Jt226H6Nbzp2 0O91004050959873,10.00
Groceries,12/3/2012,Safeway Store 1507 San Franciscoca,22.56
Food/Drink,12/3/2012,King Foot Subs San Franciscoca,27.15
Business/Office,12/3/2012,Cole Hardware San Franciscoca,54.20
Bills/Utilities,12/4/2012,Phone/Internet-At&T Mobility,90.80
Food/Drink,12/4/2012,Nopalito # 1 San Francisco Ca,97.21
Auto/Transportation,12/5/2012,Bart Clipper Ci San Franciscoca,20.00
Cash/ATM,12/5/2012,ATM Withdrawal - 6 298 Divisadero Owner Fillsan Franciscoca,42.25
Mortgage / Rent,12/5/2012,Mortgage Payments-Jackson Square West Hoa,333.00
Food/Drink,12/6/2012,Burbank Airport Fo Burbank Ca,12.91
Auto/Transportation,12/6/2012,5Str Prk Oakl Cxt3 Oakland Ca,36.00
Food/Drink,12/7/2012,Escape From New Yo 415-4210700 Ca,7.70
Business/Office,12/8/2012,Sf Hardware San Francisco Ca,8.66
Food/Drink,12/8/2012,Peets 12902 San Francisco Ca,9.10
Auto/Transportation,12/8/2012,Shell Oil 57444678 San Francisco Ca,10.01
Food/Drink,12/8/2012,The Little Chihuah San Francisco Ca,19.43
Mortgage / Rent,12/8/2012,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),"$2,536.93"
Food/Drink,12/9/2012,Sq *Oakside Cafe San Francisco Ca,8.90
Food/Drink,12/9/2012,Acme Burgerhaus San Francisco Ca,24.74
Groceries,12/10/2012,Falletti Foods 308 Bro San Franciscoca,23.46
Auto/Transportation,12/10/2012,Car Service Oakland Ca,46.83
Cash/ATM,12/10/2012,ATM Withdrawal - 120 Kearny St San Francisco Ca,60.00
Groceries,12/11/2012,Safeway Store 1507 San Franciscoca,68.15
Food/Drink,12/14/2012,Ragazza San Francisco Ca,18.44
Auto/Transportation,12/14/2012,Recur Debit Crd Pmt12/14 Fastrak Csc 877-2298655 Ca,30.00
Food/Drink,12/14/2012,Olive Sf San Francisco Ca,46.02
Home,12/15/2012,Pottery Barn E-Com 800-922-9934 Ca,87.62
Credit Card/Loan Payments,12/15/2012,Card Payments (Non-Wf)-Capital One Credit Card,100.00
Credit Card/Loan Payments,12/15/2012,Card Payments (Non-Wf)-Citi Cards,200.00
Credit Card/Loan Payments,12/15/2012,Card Payments (Non-Wf)-Capital One Credit Card,"$1,500.00"
Food/Drink,12/16/2012,"Abe'S Market, Co. 888-636-9898 Or",11.74
Food/Drink,12/16/2012,Dominos 8515 415-821-9700 Ca,24.20
Food/Drink,12/16/2012,Beach Chalet San Francisco Ca,35.50
Groceries,12/17/2012,Superette Marke 901 Ha San Franciscoca,9.99
Insurance/Financial,12/17/2012,Paypal Inst Xfer 121216 4Jt226K2Jrvml Travis Lawrence Paypalsi66 4Jt226K2Jrvml 0O91004257095968,43.70
Credit Card/Loan Payments,12/17/2012,"Acs Express Pay Echeck Pay 121214 A102995851 Lawrence, Travis R 4952501112 A102995851 0R91004257095969",210.31
Food/Drink,12/18/2012,Starbucks #09212 S San Francisco Ca,4.90
Food/Drink,12/18/2012,Jack In The Box #3 Dunnigan Ca,7.27
Food/Drink,12/18/2012,The Citrus Club San Francisco Ca,20.89
Auto/Transportation,12/18/2012,Pilot 0168 Dunnigan Ca,34.04
Auto/Transportation,12/18/2012,B I Petroleum Llc Dunnigan Ca,35.63
Shopping,12/18/2012,Cliptomania.Com 812-935-8855 In,40.25
Shopping,12/18/2012,Jeffs Jeans San Franciscoca,84.63
Shopping,12/18/2012,Macys Web Pymt Online Pmt 121215 121779 400936427834729 1460358360 121779 0R91004457241875,109.00
Food/Drink,12/19/2012,Jimmy Johns - 1489 San Francisco Ca,9.00
Auto/Transportation,12/19/2012,Bart Clipper Mo San Franciscoca,20.00
Shopping,12/19/2012,Dillard'S 698 Dds Nashville Tn,35.38
Food/Drink,12/20/2012,In N Out Burger #2 San Carlos Ca,6.87
Groceries,12/20/2012,Safeway Store 1507 San Franciscoca,14.66
Groceries,12/20/2012,Safeway Store 1507 San Franciscoca,17.64
Insurance/Financial,12/20/2012,Paypal Inst Xfer 121220 4Jt226Kkwqfre Travis Lawrence Paypalsi66 4Jt226Kkwqfre 0O91003955052631,47.13
Outgoing Transfers,12/20/2012,Recurring Transfer Ref #Ope894Lrx3 To Savings,125.00
Credit Card/Loan Payments,12/20/2012,Card Payments (Non-Wf)-Capital One Credit Card,735.17
Auto/Transportation,12/21/2012,Chevron West D Inc Salinas Ca,5.39
Health,12/21/2012,Walgreens 2145 Market San Franciscoca,5.52
Entertainment,12/21/2012,Amazon Mktplace Pm Amzn.Com/Bill Wa,25.34
Auto/Transportation,12/21/2012,Shell Service Station San Franciscoca,46.84
Insurance/Financial,12/22/2012,Other Insurance/Financial-State Farm Insurance Companies,29.00
Shopping,12/22/2012,Apple Store #R199 Sanluisobispo Ca,106.67
Food/Drink,12/24/2012,The Little Chihuah San Francisco Ca,8.96
Outgoing Transfers,12/24/2012,Online Transfer Ref #Ibec66T8Vb To Checking,150.00
Credit Card/Loan Payments,12/24/2012,Wf Loan/Line Auto Pay 121221 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O91004450456772,324.87
Shopping,12/27/2012,Apl*Apple Itunes S 866-712-7753 Ca,0.99
Food/Drink,12/27/2012,Southwestair*Infli Dallas Tx,10.00
Shopping,12/28/2012,Stone Brewing Co S Escondido Ca,22.93
Shopping,12/28/2012,Party City #229 San Diego Ca,34.76
Bills/Utilities,12/29/2012,Gas/Electric-Pacific Gas & Electric (Pg&E),36.95
Shopping,12/30/2012,Apl*Apple Itunes S 866-712-7753 Ca,0.99
Food/Drink,12/30/2012,Toronado San Diego San Diego Ca,12.00
Food/Drink,12/30/2012,Typhoon Saloon/Fre San Diego Ca,36.89
Business/Office,12/31/2012,Searchtech Limit Iat Paypal 121231 4Jt226Lky452L Travis Lawrence 770510487C 4Jt226Lky452L 0O91004454202853,5.00
Shopping,12/31/2012,Bicycle Discove 742 Fe San Diego Ca,32.33
Food/Drink,12/31/2012,Tgi Friday'S #1940 San Diego Ca,66.84
Food/Drink,1/1/2013,Poway'S Irish Pub Poway Ca,25.00
Food/Drink,1/1/2013,Poway'S Irish Pub Poway Ca,33.00
Insurance/Financial,1/2/2013,Other Insurance/Financial-State Farm Insurance Companies,47.85
Food/Drink,1/3/2013,Newasia Asian Cuis San Francisco Ca,6.84
Insurance/Financial,1/3/2013,Paypal Inst Xfer 130103 4Jt226Lw9Vbr4 Travis Lawrence Paypalsi66 4Jt226Lw9Vbr4 0O91004052484712,13.75
Auto/Transportation,1/3/2013,Bart Clipper Mo San Franciscoca,20.00
Entertainment,1/3/2013,Sundance Kab 818-889-8562 Ca,29.00
Bills/Utilities,1/3/2013,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,80.00
Food/Drink,1/4/2013,Starbucks #00628 S San Francisco Ca,1.95
Food/Drink,1/4/2013,Chipotle 1857 San Francisco Ca,8.59
Health,1/4/2013,Walgreens 3400 Telegra Oakland Ca,17.53
Insurance/Financial,1/4/2013,Paypal Inst Xfer 130103 4Jt226Lxwc26W Travis Lawrence Paypalsi66 4Jt226Lxwc26W 0O91004056373507,60.00
Bills/Utilities,1/4/2013,Phone/Internet-At&T Mobility,90.97
Mortgage / Rent,1/4/2013,Mortgage Payments-Jackson Square West Hoa,333.00
Auto/Transportation,1/5/2013,Paybyphone Sanfran San Francisco Ca,1.12
Auto/Transportation,1/5/2013,Paybyphone Sanfran San Francisco Ca,1.12
Credit Card/Loan Payments,1/5/2013,Card Payments (Non-Wf)-Capital One Credit Card,30.00
Food/Drink,1/7/2013,Escape From New Yo 415-4210700 Ca,7.90
Food/Drink,1/7/2013,King Foot Subs San Franciscoca,8.03
Food/Drink,1/7/2013,Lucky 756San Francisco San Francisc Ca,19.72
Food/Drink,1/8/2013,Cafe Venue San Francisco Ca,10.72
Groceries,1/8/2013,Safeway Store 1507 San Franciscoca,11.47
Insurance/Financial,1/8/2013,Paypal Inst Xfer 130107 4Jt226Mda3Zdn Travis Lawrence Paypalsi66 4Jt226Mda3Zdn 0O91003650640636,12.38
Health,1/8/2013,Walgreens 199 Parnassu San Franciscoca,30.00
Credit Card/Loan Payments,1/8/2013,Card Payments (Non-Wf)-Capital One Credit Card,120.00
Food/Drink,1/9/2013,Ayola (Kearny) San Francisco Ca,10.33
Entertainment,1/10/2013,Apl*Apple Itunes S 866-712-7753 Ca,2.99
Food/Drink,1/10/2013,Lee'S Kitchen San Francisco Ca,6.80
Food/Drink,1/11/2013,Taco Bell 0 0019 San Carlos Ca,7.04
Groceries,1/11/2013,Safeway Store 1507 San Franciscoca,12.10
Auto/Transportation,1/11/2013,Chong & Myong Inc Oakland Ca,43.31
Cash/ATM,1/11/2013,ATM Withdrawal - 26 620 Treat Ave Cardtronicsan Franciscoca,62.25
Mortgage / Rent,1/11/2013,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),"$2,536.93"
Auto/Transportation,1/13/2013,Paybyphone Sanfran San Francisco Ca,0.72
Auto/Transportation,1/13/2013,Paybyphone Sanfran San Francisco Ca,5.95
Entertainment,1/13/2013,AMC Van Ness 0400 San Francisco Ca,8.00
Entertainment,1/13/2013,AMC Van Ness 0400 San Francisco Ca,16.25
Food/Drink,1/14/2013,Burger Urge San Francisco Ca,14.19
Food/Drink,1/15/2013,01/15 Chili Up San Francisco Ca ,8.40
Food/Drink,1/16/2013,01/16 Ayola (Kearny) San Francisco Ca ,10.33
Food/Drink,1/17/2013,01/17 Escape From New Yo 415-4210700 Ca ,5.70
Credit Card/Loan Payments,1/17/2013,Card Payments (Non-Wf)-Capital One Credit Card,200.00
Credit Card/Loan Payments,1/17/2013,"Acs Express Pay Echeck Pay 130116 A102995851 Lawrence, Travis R 4952501112 A102995851 0R91004055085908",210.31
Credit Card/Loan Payments,1/17/2013,Card Payments (Non-Wf)-Capital One Credit Card,300.00
Food/Drink,1/18/2013,01/18 Jimmy Johns - 1489 San Francisco Ca ,8.00
Shopping,1/18/2013,Macys Web Pymt Online Pmt 130117 11872 400963180565120 1460358360 11872 0R91004251003283,120.00
Food/Drink,1/19/2013,01/19 Mad Dog In The Fog San Francisco Ca ,39.88
Food/Drink,1/20/2013,01/20 Round Table Pizza San Francisco Ca ,31.27
Food/Drink,1/21/2013,01/21 Chipotle 1857 San Francisco Ca ,8.59
Entertainment,1/21/2013,01/21 Amazon.Com Amzn.Com/Bill Wa ,9.45
Entertainment,1/21/2013,01/21 Amazon.Com Amzn.Com/Bill Wa ,26.03
Food/Drink,1/22/2013,01/22 Lee'S Deli-Montgom San Francisco Ca,6.75
Entertainment,1/22/2013,01/22 Amazon Mktplace Pm Amzn.Com/Bill Wa,11.00
Groceries,1/22/2013,Superette Marke 901 Ha San Franciscoca ,16.11
Personal Care,1/22/2013,01/22 Shine Hair Styles San Francisco Ca,21.00
Cash/ATM,1/22/2013,ATM Withdrawal - 36 225 Church St Pilsner Insan Franciscoca ,23.10
Auto/Transportation,1/22/2013,Shell Service Station San Franciscoca ,43.60
Shopping,1/22/2013,01/22 Allied Electronics 800-433-5700 Tx,51.40
Insurance/Financial,1/22/2013,01/22 State Farm Insuran 800-956-6310 Il,114.00
Credit Card/Loan Payments,1/22/2013,Wf Loan/Line Auto Pay 130118 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O91003655221574,324.87
Insurance/Financial,1/23/2013,Other Insurance/Financial-State Farm Insurance Companies,29.00
Food/Drink,1/24/2013,01/24 Jimmy Johns - 1489 San Francisco Ca ,7.00
Food/Drink,1/25/2013,01/25 Mcdonald'S F3171 San Francisco Ca ,9.77
Cash/ATM,1/25/2013,ATM Withdrawal - 1 Montgomery St San Francisco Ca ,40.00
Food/Drink,1/26/2013,01/26 Southern Pacific B San Francisco Ca ,13.00
Credit Card/Loan Payments,1/26/2013,Card Payments (Non-Wf)-Citi Cards,200.00
Food/Drink,1/28/2013,01/28 Chipotle 1857 San Francisco Ca ,8.59
Groceries,1/28/2013,Falletti Foods 308 Bro San Franciscoca ,30.21
Food/Drink,1/29/2013,01/29 Jimmy Johns - 1489 San Francisco Ca ,7.50
Food/Drink,1/30/2013,01/30 Escape From New Yo San Francisco Ca ,8.30
Food/Drink,1/30/2013,01/30 ESCAPE FROM NEW YO      SAN FRANCISCO CA ,8.30
Insurance/Financial,1/30/2013,Paypal Inst Xfer 130130 4Jt226Pwg9P6N Travis Lawrence Paypalsi66 4Jt226Pwg9P6N 0O91003954467630,15.36
Auto/Transportation,1/30/2013,Valero 3732 Salinas Ca ,35.80
Bills/Utilities,1/31/2013,Gas/Electric-Pacific Gas & Electric (Pg&E),37.72
Insurance/Financial,1/31/2013,Other Insurance/Financial-State Farm Insurance Companies,47.85
Food/Drink,2/1/2013,02/01 In-N-Out Burger 00 Mountain View Ca ,6.90
Groceries,2/1/2013,02/01 Superette Market San Francisco Ca,11.14
Auto/Transportation,2/1/2013,Shell Service Station Salinas Ca ,43.47
Business/Office,2/1/2013,02/01 Eb *Sf Beer Week O Eventbrite.Co Ca ,80.12
Bills/Utilities,2/2/2013,Phone/Internet-At&T Mobility,90.84
Food/Drink,2/4/2013,02/04 El Faro San Francisco Ca ,8.10
Business/Office,2/4/2013,Searchtech Limit Iat Paypal 130204 4Jt226Q95Xv4W Travis Lawrence 770510487C 4Jt226Q95Xv4W 0O91004558531732,11.00
Auto/Transportation,2/4/2013,Bart Clipper Mo San Franciscoca ,20.00
Bills/Utilities,2/5/2013,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,80.00
Credit Card/Loan Payments,2/5/2013,Card Payments (Non-Wf)-Capital One Credit Card,81.00
Mortgage / Rent,2/5/2013,Mortgage Payments-Jackson Square West Hoa,333.00
Food/Drink,2/6/2013,02/06 Chili Up San Francisco Ca ,9.50
Auto/Transportation,2/6/2013,Recur Debit Crd Pmt02/06 Fastrak Csc 877-2298655 Ca ,30.00
Food/Drink,2/7/2013,02/07 Mcdonald'S F3171 San Francisco Ca ,10.31
Bills/Utilities,2/7/2013,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,22.85
Groceries,2/7/2013,Trader Joe S 100 San Francisc Ca ,62.44
Mortgage / Rent,2/7/2013,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),"$2,536.93"
Food/Drink,2/8/2013,02/08 Sq *The Sandwich C San Francisco Ca ,9.65
Bills/Utilities,2/8/2013,02/08 Straighttalk*Phone 877-430-2355 Fl ,65.24
Cash/ATM,2/8/2013,Atm Withdrawal - 9 799 Haight St Pai Atm San Franciscoca ,82.75
Auto/Transportation,2/9/2013,Recur Debit Crd Pmt02/09 Uber Technologies 866-576-1039 Ca ,8.00
Auto/Transportation,2/10/2013,02/10 76 10093623 San Francisco Ca ,50.74
Food/Drink,2/11/2013,02/11 Chili Up San Francisco Ca ,9.70
Food/Drink,2/11/2013,Safeway Store 1507 San Franciscoca ,13.83
Personal Care,2/12/2013,02/12 Fell Depot Cleaner San Francisco Ca ,18.00
Food/Drink,2/13/2013,02/13 Newasia Asian Cuis San Francisco Ca ,6.84
Food/Drink,2/14/2013,02/14 Escape From New Yo 415-4210700 Ca ,3.95
Health,2/14/2013,Walgreens 141 Kearny S San Franciscoca ,10.96
Food/Drink,2/14/2013,Safeway Store 1507 San Franciscoca ,73.70
Shopping,2/14/2013,Shoe Biz Dino San Franciscoca ,96.89
Food/Drink,2/15/2013,02/15 Jimmy Johns - 1489 San Francisco Ca ,7.00
Cash/ATM,2/15/2013,Atm Withdrawal - 1 Montgomery St San Francisco Ca ,60.00
Food/Drink,2/16/2013,02/16 Chipotle 1857 San Francisco Ca ,21.70
Credit Card/Loan Payments,2/16/2013,Card Payments (Non-Wf)-Capital One Credit Card,200.00
Credit Card/Loan Payments,2/16/2013,Card Payments (Non-Wf)-Capital One Credit Card,546.11
Food/Drink,2/17/2013,02/17 Arguello Supermark San Francisco Ca ,22.56
Food/Drink,2/18/2013,02/18 Bar Crudo San Francisco Ca ,100.55
Food/Drink,2/19/2013,Safeway Store 1507 San Franciscoca ,43.77
Auto/Transportation,2/19/2013,02/19 76 10093623 San Francisco Ca ,51.98
Bills/Utilities,2/20/2013,Gas/Electric-Pacific Gas & Electric (Pg&E),45.61
Shopping,2/20/2013,Macys Web Pymt Online Pmt 130217 21788 400991464740567 1460358360 21788 0R00000091004056986329,140.00
Credit Card/Loan Payments,2/20/2013,"Acs Express Pay Echeck Pay 130219 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004056986330",210.31
Entertainment,2/22/2013,02/22 Apl*Apple Itunes S 866-712-7753 Ca ,0.99
Food/Drink,2/22/2013,02/22 Escape From New Yo 415-4210700 Ca ,9.50
Food/Drink,2/22/2013,02/22 The Little Chihuah San Francisco Ca ,19.47
Insurance/Financial,2/22/2013,Other Insurance/Financial-State Farm Insurance Companies,29.00
Credit Card/Loan Payments,2/22/2013,Wf Loan/Line Auto Pay 130221 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091004558566380,324.87
Food/Drink,2/23/2013,02/23 Mad Dog In The Fog San Francisco Ca ,32.50
Food/Drink,2/24/2013,02/24 Ragazza San Francisco Ca ,36.97
Food/Drink,2/25/2013,King Foot Subs San Franciscoca ,11.66
Food/Drink,2/25/2013,Safeway Store 1507 San Franciscoca ,47.11
Food/Drink,2/26/2013,02/26 Starbucks #00628 S San Francisco Ca ,3.45
Groceries,2/26/2013,02/26 Superette Market San Francisco Ca ,7.75
Food/Drink,2/26/2013,02/26 Super Duper Burger San Francisco Ca ,12.23
Food/Drink,2/28/2013,02/28 El Faro San Francisco Ca ,8.10
Insurance/Financial,2/28/2013,Other Insurance/Financial-State Farm Insurance Companies,47.85
Auto/Transportation,2/28/2013,02/28 76 10093623 San Francisco Ca ,52.08
Bills/Utilities,2/28/2013,Phone/Internet-At&T Mobility,90.84
Credit Card/Loan Payments,2/28/2013,Card Payments (Non-Wf)-Citi Cards,100.00
Food/Drink,3/1/2013,03/01 Pasilla Inc. San Francisco Ca ,7.88
Cash/ATM,3/1/2013,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,80.00
Auto/Transportation,3/2/2013,Recur Debit Crd Pmt03/02 Fastrak Csc 877-2298655 Ca ,30.00
Mortgage / Rent,3/2/2013,Mortgage Payments-Jackson Square West Hoa,333.00
Business/Office,3/4/2013,Searchtech Limit Iat Paypal 130304 4Jt226Tg98Ha4 Travis Lawrence 770510487C 4Jt226Tg98Ha4 0O00000091004053618541,11.00
